Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000165138,ANKS6,embryonic development,organ morphogenesis,cell differentiation,protein homodimerization activity,protein complex assembly,structural molecule activity,cilium,plasma membrane,cytosol
ENSG00000113448,PDE4D,positive regulation of interleukin-2 production,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,camp catabolic process,'-cyclic-amp phosphodiesterase activity,beta-2 adrenergic receptor binding,camp binding,nucleus,plasma membrane,voltage-gated calcium channel complex
ENSG00000143190,POU2F1,positive regulation of mirna transcription,regulation of transcription by rna polymerase ii,negative regulation of dna-templated transcription,dna-binding transcription factor activity,rna polymerase ii-specific,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,rna polymerase ii transcription regulator complex
ENSG00000169871,TRIM56,regulation of type i interferon-mediated signaling pathway,positive regulation of interferon-beta production,protein k63-linked ubiquitination,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,zinc ion binding,cytosol,cytoplasm,nuclear speckles
ENSG00000136826,KLF4,negative regulation of interleukin-8 production,positive regulation of mirna transcription,positive regulation of transcription by rna polymerase ii,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,transcription cis-regulatory region binding,nucleus,euchromatin,nucleoplasm
ENSG00000167601,AXL,negative regulation of cytokine production,positive regulation of natural killer cell differentiation,epidermal growth factor receptor signaling pathway,boss receptor activity,platelet-derived growth factor alpha-receptor activity,atp binding,plasma membrane,extracellular space,actin cytoskeleton
ENSG00000149948,HMGA2,negative regulation of double-strand break repair via nonhomologous end joining,positive regulation of transcription by rna polymerase ii,positive regulation of protein serine/threonine kinase activity,transcription cis-regulatory region binding,camp response element binding,minor groove of adenine-thymine-rich dna binding,senescence-associated heterochromatin focus,nucleus,chromatin
ENSG00000132842,AP3B1,positive regulation of transcription by rna polymerase ii,toll-like receptor signaling pathway,anterograde axonal transport,clathrin binding,protein phosphatase binding,gtp-dependent protein binding,early endosome,lysosomal membrane,clathrin-coated vesicle membrane
ENSG00000099804,CDC34,ubiquitin-dependent protein catabolic process,protein k48-linked ubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process,ubiquitin conjugating enzyme activity,ubiquitin-protein transferase activity,ubiquitin-like protein transferase activity,nucleus,cytoplasm,nucleoplasm
ENSG00000108055,SMC3,regulation of dna replication,mitotic sister chromatid cohesion,chromosome organization,atp hydrolysis activity,protein heterodimerization activity,microtubule motor activity,chromosome,mitotic cohesin complex,centromeric region
ENSG00000173894,CBX2,negative regulation of transcription by rna polymerase ii,chromatin organization,cell differentiation,methylated histone binding,dna binding,protein binding,chromosome,prc1 complex,heterochromatin
ENSG00000174175,SELP,positive regulation of leukocyte migration,positive regulation of platelet activation,defense response to gram-negative bacterium,sialic acid binding,heparin binding,calcium ion binding,plasma membrane,external side of plasma membrane,extracellular space
ENSG00000090487,SPG21,epidermal growth factor receptor signaling pathway,gene expression,neuron maturation,protein binding,cd4 receptor binding,receptor tyrosine kinase activity,trans-golgi network transport vesicle,endosome,cytoplasm
ENSG00000254726,MEX3A,regulation of gene expression,mrna processing,translational repression,rna binding,rna helicase activity,metal ion binding,p-body,cytoplasm,cytosol
ENSG00000112511,PHF1,dna damage response,negative regulation of gene expression,chromatin organization,methylated histone binding,transcription corepressor binding,dna binding,nucleoplasm,site of double-strand break,esc/e(z) complex
ENSG00000135999,EPC2,regulation of transcription by rna polymerase ii,positive regulation of double-strand break repair via homologous recombination,regulation of apoptotic process,histone acetyltransferase activity,dna binding,atpase activity,nucleus,nua4 histone acetyltransferase complex,nucleosome
ENSG00000167088,SNRPD1,mrna splicing,spliceosomal complex assembly,mrna processing,rna binding,protein binding,u1 snrnp binding,u4/u6 x u5 tri-snrnp complex,nucleus,spliceosome
ENSG00000120215,MLANA,melanin pigmentation,pigmentation pathway,cell differentiation,protein binding,enzyme regulator activity,signal transduction,melanosome membrane,trans-golgi network,endoplasmic reticulum membrane
ENSG00000171132,PRKCE,positive regulation of actin filament polymerization,tram-dependent toll-like receptor 4 signaling pathway,fc-gamma receptor signaling pathway involved in phagocytosis,diacylglycerol-dependent serine/threonine kinase activity,diacylglycerol-dependent,calcium-independent serine/threonine kinase activity,cytoskeleton,mitochondrion,endoplasmic reticulum
ENSG00000171490,RSL1D1,regulation of cellular senescence,regulation of apoptotic process,regulation of protein localization,mrna 3'-utr binding,rna binding,protein binding,nucleus,nucleolus,ribonucleoprotein complex
ENSG00000135631,RAB11FIP5,regulated exocytosis,cellular response to acidic ph,protein transport,small gtpase binding,protein binding,gamma-tubulin binding,recycling endosome,secretory granule,phagocytic vesicle
ENSG00000135930,EIF4E2,mirna-mediated gene silencing,negative regulation of translational initiation,regulatory ncrna-mediated gene silencing,mrna cap binding,rna cap binding,translation initiation factor activity,p-body,cytoplasm,eukaryotic translation initiation factor 4f complex
ENSG00000102580,DNAJC3,regulation of translation,positive regulation of translation initiation,negative regulation of apoptotic process,protein-folding chaperone binding,protein kinase inhibitor activity,misfolded protein binding,endoplasmic reticulum lumen,azurophil granule lumen,extracellular vesicle
ENSG00000149532,CPSF7,mrna alternative polyadenylation,mrna processing,mrna 3'-end processing,mrna binding,rna binding,protein binding,mrna cleavage and polyadenylation specificity factor complex,nucleus,nucleoplasm
ENSG00000149016,TUT1,mrna processing,histone mrna catabolic process,co-transcriptional mrna 3'-end processing,poly(a) rna polymerase activity,u6 snrna binding,rna uridylyltransferase activity,nucleus,nucleoplasm,mrna cleavage and polyadenylation specificity factor complex
ENSG00000134452,FBH1,negative regulation of double-strand break repair via homologous recombination,protein ubiquitination,positive regulation of intrinsic apoptotic signaling pathway in response to dna damage,single-stranded 3'-5' dna helicase activity,atp binding,four-way junction helicase activity,nucleus,scf ubiquitin ligase complex,chromosome
ENSG00000138835,RGS3,regulation of g protein-coupled receptor signaling pathway,negative regulation of signal transduction,cellular response to stimulus,gtpase activator activity,gtpase activity,protein binding,plasma membrane,cytosol,nucleus
ENSG00000120690,ELF1,positive regulation of transcription by rna polymerase ii,regulation of cytokine production,negative regulation of t cell receptor signaling pathway,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,sequence-specific double-stranded dna binding,nucleus,chromatin,nucleoplasm
ENSG00000111196,MAGOHB,regulation of mrna processing,nonsense-mediated decay,mrna export from nucleus,rna binding,protein binding,splicing factor activity,exon-exon junction subcomplex mago-y14,u2-type catalytic step 1 spliceosome,nucleus
ENSG00000010803,SCMH1,negative regulation of dna-templated transcription,chromatin remodeling,spermatogenesis,histone binding,chromatin binding,protein binding,nucleus,male germ cell nucleus,chromocenter
ENSG00000101126,ADNP,regulation of transcription by rna polymerase ii,positive regulation of neuron projection development,positive regulation of canonical wnt signaling pathway,dna-binding transcription factor activity,rna polymerase ii-specific,rna polymerase ii transcription regulatory region sequence-specific dna binding,nucleus,chromosome,neuronal cell body
ENSG00000164978,NUDT2,cellular response to oxidative stress,apoptotic process,amp biosynthetic process,bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity,gtp binding,hydrolase activity,mitochondrial matrix,cytosol,nucleus
ENSG00000182712,CMC4,mitochondrial respiratory chain complex assembly,regulation of atp synthesis coupled proton transport,apoptosis,atp synthase activity,integral component of membrane,protein binding,mitochondrion,mitochondrial matrix,mitochondrial intermembrane space
ENSG00000033030,ZCCHC8,mrna splicing,co-transcriptional lncrna 3' end processing,mrna processing,rna binding,zinc ion binding,protein binding,catalytic step 2 spliceosome,nucleoplasm,nucleus
ENSG00000127914,AKAP9,positive regulation of peptidyl-serine phosphorylation,positive regulation of microtubule polymerization,chemical synaptic transmission,potassium channel regulator activity,protein kinase a regulatory subunit binding,signaling receptor binding,extrinsic component of postsynaptic density membrane,cytoskeleton,dendritic branch
ENSG00000169900,PYDC1,negative regulation of nf-kappab transcription factor activity,negative regulation of interleukin-1 beta production,negative regulation of tumor necrosis factor-mediated signaling pathway,protein serine/threonine kinase inhibitor activity,protein serine/threonine kinase binding,protein binding,nucleus,ikappab kinase complex,cytosol
ENSG00000166197,NOLC1,rrna processing,regulation of translation,mitotic cell cycle,rna binding,protein heterodimerization activity,gtp binding,nucleolus,cajal body,nucleus
ENSG00000164047,CAMP,defense response to gram-positive bacterium,innate immune response,antimicrobial humoral immune response mediated by antimicrobial peptide,lipopolysaccharide binding,protein binding,antimicrobial activity,specific granule lumen,extracellular exosome,vesicle
ENSG00000167965,MLST8,positive regulation of glycolytic process,positive regulation of lipid biosynthetic process,positive regulation of tor signaling,protein serine/threonine kinase activator activity,protein binding,protein-macromolecule adaptor activity,torc1 complex,lysosome,cytoplasm
ENSG00000265241,RBM8A,regulation of alternative mrna splicing,nonsense-mediated decay,mrna processing,mrna binding,rna binding,protein binding,nucleus,u2-type catalytic step 1 spliceosome,exon-exon junction subcomplex mago-y14
ENSG00000137161,CNPY3,innate immune response,defense response to virus,cytokine production,receptor binding,protein binding,signal transducer activity,endoplasmic reticulum,membrane,endoplasmic reticulum lumen
